Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Alisson,BRA,GK,Liverpool,eng Premier League,31-098,1992,18.0,0.83,0.06,0.00,0.11,0.06,0.93,0.26,0.16,+0.16,2.56,7.39,34.6,36.5,4.78,14.9,24.9,5.28,36.8,34.5,11.6,0.67,5.8,1.28,1.28,17.3,https://fbref.com/en/players/7a2e46a8/Alisson,7a2e46a8,Big 5 combined
2,Alphonse Areola,FRA,GK,West Ham,eng Premier League,30-315,1993,17.0,1.41,0.18,0.00,0.06,0.06,1.66,0.27,0.31,+0.31,5.82,15.2,38.4,21.4,4.71,45.6,36.9,8.29,65.2,46.0,16.2,0.82,5.1,0.18,0.18,9.5,https://fbref.com/en/players/2f965a72/Alphonse-Areola,2f965a72,Big 5 combined
3,Kepa Arrizabalaga,ESP,GK,Real Madrid,es La Liga,29-097,1994,11.0,0.64,0.00,0.00,0.00,0.09,0.75,0.27,0.20,+0.20,2.09,6.27,33.3,28.7,4.27,17.7,27.1,4.91,24.1,29.1,12.0,0.18,1.5,0.64,0.64,14.5,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga,28d596a0,Big 5 combined
4,Noah Atubolu,GER,GK,Freiburg,de Bundesliga,21-228,2002,16.0,1.63,0.13,0.00,0.13,0.06,1.35,0.34,-0.21,-0.21,5.06,15.9,31.9,32.6,4.94,32.1,33.3,7.38,73.7,55.1,12.3,0.56,4.6,0.63,0.63,13.0,https://fbref.com/en/players/dbd1b101/Noah-Atubolu,dbd1b101,Big 5 combined
5,Francisco Barbosa,ESP,GK,Betis,es La Liga,24-246,1999,2.5,1.60,0.00,0.40,0.00,0.00,1.48,0.26,-0.12,-0.13,4.00,14.0,28.6,23.2,6.00,39.7,36.2,9.60,50.0,44.3,20.4,0.80,3.9,0.80,0.80,12.3,https://fbref.com/en/players/2ae958ab/Francisco-Barbosa,2ae958ab,Big 5 combined
6,Augusto Batalla,ARG,GK,Granada,es La Liga,27-253,1996,1.0,0.00,0.00,0.00,0.00,0.00,0.40,0.20,0.40,+0.40,5.00,10.0,50.0,22.0,6.00,40.9,41.0,3.00,33.3,31.3,18.0,2.00,11.1,0.00,0.00,12.3,https://fbref.com/en/players/fc627681/Augusto-Batalla,fc627681,Big 5 combined
7,Daniel Batz,GER,GK,Mainz 05,de Bundesliga,32-361,1991,4.0,0.75,0.00,0.25,0.00,0.00,0.60,0.15,-0.15,-0.15,4.50,14.5,31.0,33.0,3.50,38.6,34.7,5.25,33.3,34.8,9.50,1.00,10.5,0.50,0.50,11.3,https://fbref.com/en/players/ec759ba1/Daniel-Batz,ec759ba1,Big 5 combined
8,Oliver Baumann,GER,GK,Hoffenheim,de Bundesliga,33-220,1990,16.0,1.88,0.06,0.06,0.19,0.06,1.99,0.30,0.18,+0.18,5.63,15.5,36.3,32.3,4.63,34.1,33.8,7.75,58.1,46.7,16.6,1.00,6.0,2.25,2.25,16.8,https://fbref.com/en/players/47064058/Oliver-Baumann,47064058,Big 5 combined
9,Daniel Bentley,ENG,GK,Wolves,eng Premier League,30-179,1993,2.8,1.07,0.00,0.00,0.00,0.00,0.89,0.25,-0.18,-0.20,3.21,12.1,26.5,22.1,2.50,35.5,32.9,8.93,48.0,36.0,13.9,0.00,0.0,0.36,0.36,10.6,https://fbref.com/en/players/68db6358/Daniel-Bentley,68db6358,Big 5 combined
10,Etrit Berisha,ALB,GK,Empoli,it Serie A,34-304,1989,14.0,1.79,0.14,0.00,0.36,0.07,1.48,0.24,-0.24,-0.24,3.14,13.1,23.9,28.6,5.36,34.8,33.0,6.43,50.0,40.8,16.9,0.79,4.7,0.71,0.71,12.4,https://fbref.com/en/players/ee833569/Etrit-Berisha,ee833569,Big 5 combined
11,Marco Bizot,NED,GK,Brest,fr Ligue 1,32-304,1991,17.0,0.88,0.06,0.00,0.12,0.00,1.09,0.24,0.21,+0.21,7.82,16.4,47.7,29.2,3.94,40.2,35.8,6.12,76.0,51.3,12.0,0.76,6.4,1.18,1.18,15.7,https://fbref.com/en/players/3d214e5f/Marco-Bizot,3d214e5f,Big 5 combined
12,Rubén Blanco,ESP,GK,Marseille,fr Ligue 1,28-167,1995,0.3,3.33,0.00,0.00,0.00,0.00,1.67,0.49,-1.67,-1.44,10.0,26.7,37.5,36.7,0.00,72.7,48.3,3.33,0.0,29.0,10.0,3.33,33.3,0.00,0.00,4.0,https://fbref.com/en/players/967f34d3/Ruben-Blanco,967f34d3,Big 5 combined
13,Janis Blaswich,GER,GK,RB Leipzig,de Bundesliga,32-251,1991,16.0,1.06,0.13,0.00,0.25,0.00,0.96,0.26,-0.11,-0.10,2.63,7.88,33.3,40.1,4.50,15.3,26.1,6.31,27.7,31.8,11.3,0.81,7.2,1.75,1.75,17.6,https://fbref.com/en/players/663e080e/Janis-Blaswich,663e080e,Big 5 combined
14,Yassine Bounou,MAR,GK,Sevilla,es La Liga,32-278,1991,1.0,2.00,0.00,0.00,0.00,0.00,1.10,0.37,-0.90,-0.88,6.00,16.0,37.5,24.0,4.00,41.7,36.1,7.00,85.7,57.4,9.00,0.00,0.0,0.00,0.00,,https://fbref.com/en/players/f6798fc3/Yassine-Bounou,f6798fc3,Big 5 combined
15,Claudio Bravo,CHI,GK,Betis,es La Liga,40-270,1983,7.0,0.71,0.00,0.00,0.00,0.14,0.79,0.27,0.21,+0.21,5.43,11.4,47.5,24.1,4.29,30.2,30.6,8.57,48.3,40.1,14.4,0.57,4.0,0.86,0.86,12.6,https://fbref.com/en/players/10072610/Claudio-Bravo,10072610,Big 5 combined
16,Alexander Brunst,GER,GK,Darmstadt 98,de Bundesliga,28-185,1995,1.0,1.00,0.00,0.00,1.00,0.00,0.70,0.25,-0.30,-0.25,12.0,36.0,33.3,38.0,2.00,71.1,47.6,9.00,100.0,66.8,24.0,1.00,4.2,0.00,0.00,10.3,https://fbref.com/en/players/99219195/Alexander-Brunst,99219195,Big 5 combined
17,Marcin Bułka,POL,GK,Nice,fr Ligue 1,24-096,1999,17.0,0.53,0.06,0.00,0.00,0.00,0.76,0.23,0.23,+0.23,2.41,5.18,46.6,31.7,4.71,12.8,23.0,4.18,26.8,26.4,10.3,0.82,8.0,0.65,0.65,12.5,https://fbref.com/en/players/db87a2c4/Marcin-Bulka,db87a2c4,Big 5 combined
18,Elia Caprile,ITA,GK,Empoli,it Serie A,22-136,2001,4.0,1.50,0.25,0.00,0.25,0.00,1.52,0.21,0.03,+0.01,5.50,15.0,36.7,30.0,6.00,42.5,37.6,4.00,56.3,46.5,17.0,1.00,5.9,1.25,1.25,14.5,https://fbref.com/en/players/97d7afbd/Elia-Caprile,97d7afbd,Big 5 combined
19,Marco Carnesecchi,ITA,GK,Atalanta,it Serie A,23-191,2000,9.0,1.00,0.11,0.00,0.11,0.00,1.03,0.25,0.03,+0.03,4.33,14.2,30.5,24.3,5.44,37.0,36.7,7.78,67.1,50.1,12.8,0.78,6.1,1.44,1.44,14.2,https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi,8ec56e62,Big 5 combined
20,Koen Casteels,BEL,GK,Wolfsburg,de Bundesliga,31-197,1992,13.0,1.54,0.08,0.00,0.15,0.00,1.63,0.31,0.09,+0.10,6.46,14.3,45.2,30.6,4.54,33.9,33.9,6.77,58.0,45.7,14.5,0.77,5.3,1.77,1.77,17.4,https://fbref.com/en/players/db401046/Koen-Casteels,db401046,Big 5 combined
21,Michele Cerofolini,ITA,GK,Frosinone,it Serie A,25-004,1999,1.0,1.00,0.00,0.00,0.00,0.00,1.00,0.16,0.00,-0.04,2.00,18.0,11.1,27.0,2.00,55.6,38.3,5.00,60.0,45.8,18.0,0.00,0.0,0.00,0.00,,https://fbref.com/en/players/efdeaff3/Michele-Cerofolini,efdeaff3,Big 5 combined
22,Lucas Chevalier,FRA,GK,Lille,fr Ligue 1,22-063,2001,17.0,0.82,0.06,0.00,0.06,0.06,0.95,0.23,0.19,+0.19,2.29,10.1,22.8,32.7,3.35,25.7,29.6,3.47,47.5,42.5,11.0,0.41,3.7,1.00,1.00,14.0,https://fbref.com/en/players/b3d76d84/Lucas-Chevalier,b3d76d84,Big 5 combined
23,Oliver Christensen,DEN,GK,Fiorentina,it Serie A,24-292,1999,2.0,3.00,0.50,0.00,0.00,0.00,1.60,0.18,-1.40,-1.38,7.00,15.5,45.2,39.0,3.50,33.3,33.2,4.00,62.5,49.4,7.50,0.00,0.0,1.50,1.50,22.0,https://fbref.com/en/players/af104654/Oliver-Christensen,af104654,Big 5 combined
24,Andrea Consigli,ITA,GK,Sassuolo,it Serie A,36-346,1987,17.0,1.59,0.24,0.00,0.18,0.06,1.30,0.22,-0.23,-0.23,4.94,13.9,35.4,29.3,4.88,38.4,36.3,7.76,34.8,33.1,17.0,0.88,5.2,0.71,0.71,11.9,https://fbref.com/en/players/8cabdc1e/Andrea-Consigli,8cabdc1e,Big 5 combined
25,Nikita Contini Baranovsky,ITA,GK,Napoli,it Serie A,27-232,1996,0.2,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,15.0,5.00,0.0,17.0,5.00,0.0,15.0,5.00,0.00,0.0,15.0,15.88,37.0,https://fbref.com/en/players/e95069bb/Nikita-Contini-Baranovsky,e95069bb,Big 5 combined
26,Benoît Costil,FRA,GK,Salernitana,it Serie A,36-189,1987,8.0,2.00,0.25,0.00,0.13,0.00,1.73,0.27,-0.28,-0.28,5.00,18.5,27.0,24.6,3.75,49.2,37.9,8.13,78.5,55.3,17.6,0.00,0.0,0.63,0.63,13.4,https://fbref.com/en/players/2434f24a/Benoit-Costil,2434f24a,Big 5 combined
27,Alessio Cragno,ITA,GK,Sassuolo,it Serie A,29-194,1994,2.0,3.00,0.50,0.00,0.50,0.50,1.70,0.30,-0.80,-0.81,5.00,16.0,31.3,23.5,1.50,57.4,41.2,9.50,26.3,29.4,13.0,0.00,0.0,3.50,3.50,28.9,https://fbref.com/en/players/f554e29b/Alessio-Cragno,f554e29b,Big 5 combined
28,Finn Dahmen,GER,GK,Augsburg,de Bundesliga,25-287,1998,16.0,1.94,0.31,0.00,0.38,0.13,1.82,0.25,0.01,+0.01,5.44,14.9,36.6,40.0,3.00,30.0,32.2,5.81,49.5,42.8,15.3,1.06,6.9,1.63,1.63,14.5,https://fbref.com/en/players/dee3013b/Finn-Dahmen,dee3013b,Big 5 combined
29,Rémy Descamps,FRA,GK,Nantes,fr Ligue 1,27-197,1996,5.0,1.80,0.00,0.00,0.00,0.00,2.26,0.37,0.46,+0.45,7.80,20.0,39.0,24.6,5.60,45.5,38.5,12.2,72.1,49.4,18.2,1.40,7.7,0.00,0.00,8.3,https://fbref.com/en/players/477e50ce/Remy-Descamps,477e50ce,Big 5 combined
30,Arthur Desmas,FRA,GK,Le Havre,fr Ligue 1,29-276,1994,17.0,1.12,0.00,0.00,0.18,0.12,1.42,0.30,0.42,+0.42,4.24,12.4,34.1,21.2,4.65,42.5,35.8,6.65,51.3,38.8,15.1,0.94,6.2,0.65,0.65,11.8,https://fbref.com/en/players/e8c5dd4d/Arthur-Desmas,e8c5dd4d,Big 5 combined
31,Michele Di Gregorio,ITA,GK,Monza,it Serie A,26-165,1997,17.4,0.98,0.06,0.00,0.23,0.00,1.32,0.24,0.34,+0.34,4.43,11.8,37.4,32.9,6.32,26.4,30.0,7.07,44.7,40.6,14.5,0.69,4.8,0.69,0.69,11.5,https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio,4e0c8d66,Big 5 combined
32,Mory Diaw,SEN,GK,Clermont Foot,fr Ligue 1,30-200,1993,17.0,1.53,0.18,0.00,0.12,0.06,1.62,0.25,0.15,+0.15,6.94,18.9,36.6,36.9,3.76,42.9,36.7,5.71,54.6,42.6,13.2,1.29,9.8,1.76,1.76,15.2,https://fbref.com/en/players/f41a69e6/Mory-Diaw,f41a69e6,Big 5 combined
33,Guillaume Dietsch,FRA,GK,Metz,fr Ligue 1,22-266,2001,0.8,1.25,0.00,0.00,0.00,0.00,1.00,0.31,-0.25,-0.21,7.50,20.0,37.5,23.8,3.75,47.4,36.4,8.75,100.0,63.0,17.5,1.25,7.1,0.00,0.00,3.0,https://fbref.com/en/players/e11a39aa/Guillaume-Dietsch,e11a39aa,Big 5 combined
34,Stole Dimitrievski,MKD,GK,Rayo Vallecano,es La Liga,30-014,1993,19.0,1.26,0.05,0.05,0.16,0.11,1.31,0.28,0.15,+0.15,4.74,16.4,28.8,24.5,4.32,48.4,40.3,8.42,54.4,45.7,15.5,0.47,3.1,0.74,0.74,13.3,https://fbref.com/en/players/fc70e345/Stole-Dimitrievski,fc70e345,Big 5 combined
35,Yehvann Diouf,FRA,GK,Reims,fr Ligue 1,24-053,1999,17.0,1.35,0.06,0.00,0.12,0.00,1.16,0.30,-0.19,-0.19,4.18,11.0,38.0,32.9,4.88,26.6,30.8,5.06,44.2,38.6,15.6,1.18,7.5,1.18,1.18,13.9,https://fbref.com/en/players/eedea60b/Yehvann-Diouf,eedea60b,Big 5 combined
36,Marko Dmitrović,SRB,GK,Sevilla,es La Liga,31-349,1992,11.0,1.55,0.18,0.00,0.09,0.09,1.58,0.30,0.13,+0.13,3.91,11.9,32.8,25.4,5.64,32.3,32.6,6.36,58.6,46.3,11.9,0.91,7.6,1.36,1.36,15.7,https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic,ac295d9e,Big 5 combined
37,Gianluigi Donnarumma,ITA,GK,Paris S-G,fr Ligue 1,24-317,1999,14.1,0.85,0.14,0.00,0.14,0.00,1.06,0.27,0.21,+0.21,1.56,3.55,44.0,26.5,4.11,12.0,24.0,5.67,6.3,18.9,12.1,0.50,4.1,0.92,0.92,13.8,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,08f5afaa,Big 5 combined
38,Martin Dúbravka,SVK,GK,Newcastle Utd,eng Premier League,34-358,1989,6.1,2.46,0.33,0.00,0.16,0.00,2.98,0.34,0.52,+0.54,2.62,8.69,30.2,23.4,7.21,16.8,25.7,9.18,51.8,38.5,15.6,1.15,7.4,0.66,0.66,12.1,https://fbref.com/en/players/3a949a25/Martin-Dubravka,3a949a25,Big 5 combined
39,Ederson,BRA,GK,Manchester City,eng Premier League,30-144,1993,18.0,1.11,0.11,0.00,0.11,0.06,0.93,0.30,-0.13,-0.13,4.00,8.78,45.6,37.4,4.22,19.8,28.3,3.78,36.8,36.9,8.00,0.83,10.4,0.83,0.83,15.3,https://fbref.com/en/players/3bb7b8b4/Ederson,3bb7b8b4,Big 5 combined
40,Łukasz Fabiański,POL,GK,West Ham,eng Premier League,38-265,1985,3.0,2.00,0.00,0.00,0.67,0.00,1.77,0.32,-0.23,-0.23,6.00,16.0,37.5,24.7,6.00,47.3,36.4,6.67,65.0,47.3,20.0,1.67,8.3,0.33,0.33,8.3,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,9328b835,Big 5 combined
41,Wladimiro Falcone,ITA,GK,Lecce,it Serie A,28-271,1995,19.0,1.32,0.21,0.05,0.05,0.05,1.43,0.26,0.17,+0.17,3.63,10.9,33.3,20.7,4.79,39.1,33.2,7.11,39.3,32.5,14.3,0.42,3.0,0.47,0.47,11.3,https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone,9f5a610b,Big 5 combined
42,Aitor Fernández,ESP,GK,Osasuna,es La Liga,32-250,1991,3.1,1.94,0.32,0.00,0.32,0.00,1.58,0.43,-0.35,-0.36,6.45,15.8,40.8,29.0,3.55,47.8,40.8,3.55,54.5,47.5,10.0,0.32,3.2,0.97,0.96,15.2,https://fbref.com/en/players/a01c3d54/Aitor-Fernandez,a01c3d54,Big 5 combined
43,Raúl Fernández,ESP,GK,Granada,es La Liga,35-301,1988,3.1,3.55,0.00,0.00,0.32,0.32,2.52,0.46,-0.71,-0.71,4.52,15.2,29.8,28.4,3.23,37.5,35.7,5.48,82.4,62.1,11.6,1.29,11.1,3.55,3.54,17.3,https://fbref.com/en/players/6fb59070/Raul-Fernandez,6fb59070,Big 5 combined
44,Fernando,ESP,GK,Almería,es La Liga,33-212,1990,2.0,3.50,0.00,0.00,0.00,0.00,2.45,0.45,-1.05,-1.05,7.00,20.0,35.0,33.5,7.00,47.8,37.2,8.00,50.0,45.8,16.0,1.00,6.3,2.50,2.50,17.9,https://fbref.com/en/players/dabb2827/Fernando,dabb2827,Big 5 combined
45,André Ferreira,POR,GK,Granada,es La Liga,27-224,1996,14.9,1.95,0.20,0.00,0.13,0.07,1.87,0.33,-0.01,-0.01,4.90,12.5,39.2,26.0,5.91,31.4,32.2,7.38,58.2,44.3,13.1,0.40,3.1,0.87,0.87,12.6,https://fbref.com/en/players/12c6cbef/Andre-Ferreira,12c6cbef,Big 5 combined
46,Mark Flekken,NED,GK,Brentford,eng Premier League,30-209,1993,17.5,1.66,0.06,0.00,0.23,0.00,1.22,0.28,-0.44,-0.44,5.20,15.0,34.6,37.4,3.83,32.0,32.2,7.43,41.5,36.4,14.4,0.80,5.6,0.86,0.86,13.8,https://fbref.com/en/players/a92ab7be/Mark-Flekken,a92ab7be,Big 5 combined
47,Wes Foderingham,ENG,GK,Sheffield Utd,eng Premier League,32-359,1991,20.0,2.45,0.05,0.00,0.30,0.15,2.33,0.35,0.03,+0.04,7.40,20.8,35.7,26.7,3.85,54.1,39.7,8.50,74.1,52.6,16.0,0.75,4.7,1.25,1.25,14.7,https://fbref.com/en/players/96cf7b61/Wes-Foderingham,96cf7b61,Big 5 combined
48,Paulo Gazzaniga,ARG,GK,Girona,es La Liga,32-006,1992,19.0,1.26,0.11,0.00,0.32,0.00,1.40,0.28,0.14,+0.14,4.00,11.9,33.5,30.8,4.79,27.7,31.0,6.21,55.1,46.6,15.7,1.21,7.7,0.53,0.53,10.7,https://fbref.com/en/players/63d17038/Paulo-Gazzaniga,63d17038,Big 5 combined
49,Luca Gemello,ITA,GK,Torino,it Serie A,23-189,2000,1.0,2.00,0.00,0.00,0.00,0.00,0.30,0.16,-1.70,-1.68,4.00,12.0,33.3,42.0,3.00,28.6,32.6,0.00,,,16.0,2.00,12.5,2.00,2.00,15.8,https://fbref.com/en/players/53e494ec/Luca-Gemello,53e494ec,Big 5 combined
50,David Gil,ESP,GK,Cádiz,es La Liga,29-362,1994,3.1,0.65,0.00,0.00,0.00,0.00,0.68,0.18,0.03,+0.04,14.2,32.9,43.1,24.2,1.29,89.3,54.7,11.9,94.6,63.8,25.5,1.61,6.3,0.00,0.00,7.3,https://fbref.com/en/players/fea23125/David-Gil,fea23125,Big 5 combined
51,Pierluigi Gollini,ITA,GK,Napoli,it Serie A,28-296,1995,3.0,1.67,0.00,0.00,0.33,0.00,1.67,0.36,0.00,+0.01,4.33,12.7,34.2,36.0,4.33,26.9,31.4,5.67,52.9,40.9,12.0,0.33,2.8,1.33,1.33,18.8,https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini,f0f7f62f,Big 5 combined
