Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Player Link_,Player ID_,Competition
1,Patrick van Aanholt,NED,DF,PSV Eindhoven,33-132,1990,10.2,1.76,1.37,1.18,0.49,0.10,1.08,1.76,61.1,0.69,0.39,0.10,0.29,1.18,2.94,0.78,0.00,https://fbref.com/en/players/5f09991f/Patrick-van-Aanholt,5f09991f,Eredivisie
2,Jayden Addai,GHA,FW,AZ Alkmaar,18-135,2005,0.7,7.14,5.71,5.71,0.00,1.43,2.86,5.71,50.0,2.86,0.00,0.00,0.00,0.00,7.14,1.43,0.00,https://fbref.com/en/players/662ffe3d/Jayden-Addai,662ffe3d,Eredivisie
3,Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,24-328,1999,7.4,0.81,0.41,0.14,0.68,0.00,0.41,1.08,37.5,0.68,0.95,0.14,0.81,0.27,1.08,0.41,0.00,https://fbref.com/en/players/3ed84b2c/Bobby-Adekanye,3ed84b2c,Eredivisie
4,Shawn Adewoye,BEL,DF,RKC Waalwijk,23-193,2000,11.1,1.62,0.90,0.90,0.36,0.36,0.99,1.35,73.3,0.36,1.98,1.17,0.81,1.71,3.33,6.13,0.09,https://fbref.com/en/players/be98fc34/Shawn-Adewoye,be98fc34,Eredivisie
5,Nikolas Agrafiotis,NED,FW,Excelsior,23-258,2000,8.1,1.48,0.86,0.25,0.74,0.49,0.49,0.99,50.0,0.49,0.37,0.12,0.25,0.00,1.48,1.60,0.00,https://fbref.com/en/players/72a63c0b/Nikolas-Agrafiotis,72a63c0b,Eredivisie
6,Chuba Akpom,ENG,"FW,MF",Ajax,28-091,1995,4.4,1.59,0.91,0.23,0.91,0.45,0.45,0.91,50.0,0.45,0.68,0.00,0.68,0.45,2.05,0.68,0.00,https://fbref.com/en/players/e2b384d2/Chuba-Akpom,e2b384d2,Eredivisie
7,Hamdi Akujobi,NED,"DF,MF",Almere City,23-353,2000,6.9,2.32,1.74,1.30,0.72,0.29,0.87,1.45,60.0,0.58,1.59,0.43,1.16,0.72,3.04,1.59,0.00,https://fbref.com/en/players/0b524c25/Hamdi-Akujobi,0b524c25,Eredivisie
8,Hussein Ali,IRQ,DF,Heerenveen,21-313,2002,5.7,1.05,0.70,0.70,0.18,0.18,0.88,1.40,62.5,0.53,0.88,0.35,0.53,1.40,2.46,3.33,0.00,https://fbref.com/en/players/b8a919ad/Hussein-Ali,b8a919ad,Eredivisie
9,Jordi Altena,NED,MF,Vitesse,20-035,2003,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/25cfb552/Jordi-Altena,25cfb552,Eredivisie
10,Jaydon Amauri Banel,NED,"MF,FW",Ajax,19-081,2004,0.3,6.67,6.67,3.33,3.33,0.00,0.00,3.33,0.0,3.33,0.00,0.00,0.00,0.00,6.67,3.33,0.00,https://fbref.com/en/players/98e0d76c/Jaydon-Amauri-Banel,98e0d76c,Eredivisie
11,Pelle van Amersfoort,NED,FW,Heerenveen,27-282,1996,9.1,0.11,0.00,0.00,0.11,0.00,0.00,0.66,0.0,0.66,0.44,0.00,0.44,0.11,0.22,0.77,0.00,https://fbref.com/en/players/8cef2308/Pelle-van-Amersfoort,8cef2308,Eredivisie
12,Jamal Amofa,NED,DF,Go Ahead Eag,25-044,1998,12.5,1.84,1.12,1.44,0.40,0.00,0.88,1.28,68.8,0.40,1.76,1.52,0.24,1.04,2.88,2.64,0.08,https://fbref.com/en/players/ec3e9827/Jamal-Amofa,ec3e9827,Eredivisie
13,Augustin Anello,BEL,"FW,MF",Sparta R'dam,21-261,2002,2.5,1.60,1.20,0.80,0.40,0.40,0.80,4.00,20.0,3.20,0.80,0.00,0.80,0.00,1.60,0.00,0.00,https://fbref.com/en/players/c16ab6bc/Augustin-Anello,c16ab6bc,Eredivisie
14,Joey Antonioli,NED,MF,Volendam,20-024,2003,1.1,0.91,0.91,0.91,0.00,0.00,0.91,2.73,33.3,1.82,1.82,0.00,1.82,0.00,0.91,0.00,0.00,https://fbref.com/en/players/cc423d7c/Joey-Antonioli,cc423d7c,Eredivisie
15,Carlens Arcus,HAI,DF,Vitesse,27-194,1996,11.2,2.50,1.43,2.05,0.36,0.09,1.43,2.77,51.6,1.34,0.45,0.00,0.45,1.96,4.46,2.23,0.00,https://fbref.com/en/players/5e837126/Carlens-Arcus,5e837126,Eredivisie
16,D'Leanu Arts,NED,DF,NEC Nijmegen,20-226,2003,0.2,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,0.00,0.00,0.00,0.00,0.00,5.00,0.00,https://fbref.com/en/players/9014a9c8/DLeanu-Arts,9014a9c8,Eredivisie
17,Gastón Ávila,ARG,DF,Ajax,22-100,2001,3.9,3.85,2.56,2.56,1.28,0.00,3.59,6.92,51.9,3.33,1.79,0.26,1.54,0.77,4.62,3.08,0.00,https://fbref.com/en/players/f648b2e1/Gaston-Avila,f648b2e1,Eredivisie
18,Marouan Azarkan,NED,FW,Utrecht,22-031,2001,6.7,1.94,1.34,1.04,0.45,0.45,1.34,3.13,42.9,1.79,1.94,0.00,1.94,0.60,2.54,1.19,0.00,https://fbref.com/en/players/9469388f/Marouan-Azarkan,9469388f,Eredivisie
19,Anouar El Azzouzi,NED,DF,Zwolle,22-224,2001,1.1,3.64,2.73,2.73,0.91,0.00,0.91,2.73,33.3,1.82,1.82,1.82,0.00,0.91,4.55,7.27,0.00,https://fbref.com/en/players/22a6a4d7/Anouar-El-Azzouzi,22a6a4d7,Eredivisie
20,Julian Baas,NED,MF,Excelsior,21-267,2002,15.5,2.00,1.42,0.90,0.71,0.39,0.77,1.81,42.9,1.03,1.35,0.45,0.90,1.74,3.74,1.16,0.00,https://fbref.com/en/players/7156acb5/Julian-Baas,7156acb5,Eredivisie
21,Youri Baas,NED,"DF,FW",NEC Nijmegen,20-297,2003,8.5,4.47,2.71,3.18,1.18,0.12,2.82,5.41,52.2,2.59,1.65,0.59,1.06,1.06,5.53,1.65,0.12,https://fbref.com/en/players/ca002b1a/Youri-Baas,ca002b1a,Eredivisie
22,Isaac Babadi,NED,"MF,FW",PSV Eindhoven,18-277,2005,1.3,2.31,0.00,0.77,0.77,0.77,0.77,1.54,50.0,0.77,0.77,0.00,0.77,0.77,3.08,0.77,0.00,https://fbref.com/en/players/52f7e3a7/Isaac-Babadi,52f7e3a7,Eredivisie
23,Mio Backhaus,GER,GK,Volendam,19-267,2004,16.0,0.06,0.06,0.06,0.00,0.00,0.06,0.13,50.0,0.06,0.06,0.00,0.06,0.06,0.13,0.38,0.06,https://fbref.com/en/players/0d41f821/Mio-Backhaus,0d41f821,Eredivisie
24,Thibo Baeten,BEL,FW,Go Ahead Eag,21-218,2002,1.7,3.53,0.59,1.18,0.59,1.76,2.35,4.71,50.0,2.35,2.35,0.00,2.35,1.18,4.71,0.59,0.00,https://fbref.com/en/players/f976899a/Thibo-Baeten,f976899a,Eredivisie
25,Saïd Bakari,COM,DF,Sparta R'dam,29-108,1994,15.4,3.38,2.47,2.08,1.10,0.19,1.95,3.38,57.7,1.43,1.23,0.52,0.71,1.10,4.48,2.27,0.06,https://fbref.com/en/players/3a0fbf82/Said-Bakari,3a0fbf82,Eredivisie
26,Johan Bakayoko,BEL,"FW,MF",PSV Eindhoven,20-263,2003,13.1,1.22,0.69,0.31,0.46,0.46,0.31,0.76,40.0,0.46,1.15,0.08,1.07,0.46,1.68,0.15,0.00,https://fbref.com/en/players/0caa2fd4/Johan-Bakayoko,0caa2fd4,Eredivisie
27,Navajo Bakboord,NED,DF,Heracles Almelo,24-344,1999,9.2,2.39,1.74,1.63,0.76,0.00,1.09,2.07,52.6,0.98,1.74,0.54,1.20,1.09,3.48,2.72,0.11,https://fbref.com/en/players/216d25a3/Navajo-Bakboord,216d25a3,Eredivisie
28,Zakaria Bakkali,BEL,"MF,FW",RKC Waalwijk,27-347,1996,7.5,1.87,1.20,1.33,0.13,0.40,0.67,1.47,45.5,0.80,0.80,0.00,0.80,0.27,2.13,0.27,0.00,https://fbref.com/en/players/ec3efd7f/Zakaria-Bakkali,ec3efd7f,Eredivisie
29,Nordin Bakker,NED,GK,Almere City,26-069,1997,16.0,0.13,0.13,0.13,0.00,0.00,0.13,0.31,40.0,0.19,0.00,0.00,0.00,0.00,0.13,0.56,0.06,https://fbref.com/en/players/12f664ca/Nordin-Bakker,12f664ca,Eredivisie
30,Jesse Bal,NED,MF,Sparta R'dam,17-099,2006,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f60ea55c/Jesse-Bal,f60ea55c,Eredivisie
31,Théo Barbet,FRA,DF,Almere City,22-308,2001,9.3,1.08,0.43,0.54,0.43,0.11,0.75,1.51,50.0,0.75,1.08,0.43,0.65,1.29,2.37,3.76,0.00,https://fbref.com/en/players/06d51feb/Theo-Barbet,06d51feb,Eredivisie
32,Vasilios Barkas,GRE,GK,Utrecht,29-223,1994,15.0,0.13,0.13,0.13,0.00,0.00,0.13,0.20,66.7,0.07,0.00,0.00,0.00,0.00,0.13,0.40,0.07,https://fbref.com/en/players/c2e41cfb/Vasilios-Barkas,c2e41cfb,Eredivisie
33,Riechedly Bazoer,NED,DF,AZ Alkmaar,27-088,1996,12.0,0.83,0.67,0.50,0.25,0.08,0.42,0.67,62.5,0.25,0.75,0.42,0.33,0.83,1.67,1.92,0.00,https://fbref.com/en/players/da59a197/Riechedly-Bazoer,da59a197,Eredivisie
34,Sven van Beek,NED,DF,Heerenveen,29-164,1994,11.1,1.71,0.99,1.17,0.36,0.18,1.08,1.35,80.0,0.27,1.62,0.63,0.99,1.53,3.24,5.23,0.09,https://fbref.com/en/players/49312f11/Sven-van-Beek,49312f11,Eredivisie
35,Thomas Beelen,NED,DF,Feyenoord,22-211,2001,2.3,2.61,0.43,2.17,0.43,0.00,0.43,0.87,50.0,0.43,1.30,0.43,0.87,0.87,3.48,1.74,0.00,https://fbref.com/en/players/530e7d85/Thomas-Beelen,530e7d85,Eredivisie
36,Mouhamed Belkheir,FRA,"FW,MF",Fortuna Sittard,25-006,1999,3.9,1.03,0.51,0.26,0.51,0.26,0.77,1.54,50.0,0.77,0.51,0.00,0.51,0.00,1.03,0.51,0.00,https://fbref.com/en/players/14340768/Mouhamed-Belkheir,14340768,Eredivisie
37,Armel Bella Kotchap,GER,DF,PSV Eindhoven,22-028,2001,1.8,0.56,0.00,0.00,0.00,0.56,0.00,0.56,0.0,0.56,0.56,0.00,0.56,1.11,1.67,2.78,0.00,https://fbref.com/en/players/a39d11bc/Armel-Bella-Kotchap,a39d11bc,Eredivisie
38,Benaissa Benamar,MAR,DF,Volendam,26-275,1997,10.8,1.11,0.83,0.65,0.46,0.00,0.65,1.39,46.7,0.74,1.48,1.02,0.46,1.30,2.41,3.80,0.00,https://fbref.com/en/players/01ca961e/Benaissa-Benamar,01ca961e,Eredivisie
39,Mimeirhel Benita,NED,"DF,FW",Excelsior,20-052,2003,1.5,4.67,2.00,4.67,0.00,0.00,4.00,4.67,85.7,0.67,2.00,0.00,2.00,2.00,6.67,5.33,0.00,https://fbref.com/en/players/35ccba69/Mimeirhel-Benita,35ccba69,Eredivisie
40,Walter Benítez,ARG,GK,PSV Eindhoven,30-354,1993,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,https://fbref.com/en/players/8a2248b4/Walter-Benitez,8a2248b4,Eredivisie
41,Mitchell van Bergen,NED,"FW,MF",Twente,24-134,1999,3.2,1.25,0.94,0.63,0.00,0.63,0.63,0.94,66.7,0.31,1.88,0.31,1.56,1.25,2.50,1.56,0.00,https://fbref.com/en/players/0b2c9aec/Mitchell-van-Bergen,0b2c9aec,Eredivisie
42,Steven Berghuis,NED,"FW,MF",Ajax,32-020,1991,10.2,1.37,0.59,0.78,0.39,0.20,0.78,1.67,47.1,0.88,1.27,0.00,1.27,0.29,1.67,0.78,0.00,https://fbref.com/en/players/713c144a/Steven-Berghuis,713c144a,Eredivisie
43,Steven Bergwijn,NED,"FW,MF",Ajax,26-092,1997,12.4,0.97,0.56,0.32,0.48,0.16,0.65,1.21,53.3,0.56,0.65,0.08,0.56,0.08,1.05,0.48,0.00,https://fbref.com/en/players/a29b1131/Steven-Bergwijn,a29b1131,Eredivisie
44,Gijs Besselink,NED,"FW,MF",Twente,19-206,2004,0.3,6.67,0.00,0.00,3.33,3.33,3.33,3.33,100.0,0.00,0.00,0.00,0.00,3.33,10.0,0.00,0.00,https://fbref.com/en/players/689b9ef0/Gijs-Besselink,689b9ef0,Eredivisie
45,Justin Bijlow,NED,GK,Feyenoord,25-351,1998,9.0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.0,0.11,0.00,0.00,0.00,0.00,0.00,0.56,0.22,https://fbref.com/en/players/53d93280/Justin-Bijlow,53d93280,Eredivisie
46,Xander Blomme,BEL,MF,Go Ahead Eag,21-201,2002,0.5,2.00,0.00,0.00,2.00,0.00,0.00,2.00,0.0,2.00,0.00,0.00,0.00,2.00,4.00,2.00,0.00,https://fbref.com/en/players/a712e3f5/Xander-Blomme,a712e3f5,Eredivisie
47,Paweł Bochniewicz,POL,DF,Heerenveen,27-343,1996,10.2,1.18,0.59,0.88,0.29,0.00,0.59,1.18,50.0,0.59,1.57,1.37,0.20,0.69,1.86,4.61,0.00,https://fbref.com/en/players/9bf068be/Pawel-Bochniewicz,9bf068be,Eredivisie
48,Ruben van Bommel,NED,FW,AZ Alkmaar,19-158,2004,6.0,2.50,1.50,0.83,1.17,0.50,1.17,2.67,43.8,1.50,0.83,0.00,0.83,0.67,3.17,0.67,0.00,https://fbref.com/en/players/c9314f57/Ruben-van-Bommel,c9314f57,Eredivisie
49,Taylor Booth,USA,FW,Utrecht,22-222,2001,3.9,0.51,0.00,0.00,0.00,0.51,0.26,0.77,33.3,0.51,1.03,0.51,0.51,0.51,1.03,1.28,0.00,https://fbref.com/en/players/1eb05a70/Taylor-Booth,1eb05a70,Eredivisie
50,Zach Booth,USA,"MF,FW",Volendam,19-325,2004,3.7,1.62,1.35,0.54,0.81,0.27,0.54,1.62,33.3,1.08,0.81,0.27,0.54,1.62,3.24,2.43,0.00,https://fbref.com/en/players/7e47a132/Zach-Booth,7e47a132,Eredivisie
51,Olivier Boscagli,FRA,DF,PSV Eindhoven,26-051,1997,14.1,1.42,0.92,0.92,0.43,0.07,0.78,1.35,57.9,0.57,1.06,0.43,0.64,2.06,3.48,3.83,0.14,https://fbref.com/en/players/403f5d20/Olivier-Boscagli,403f5d20,Eredivisie
52,Othman Boussaid,BEL,FW,Utrecht,23-307,2000,8.0,1.63,0.88,0.75,0.63,0.25,1.00,2.75,36.4,1.75,1.13,0.00,1.13,0.75,2.38,0.75,0.00,https://fbref.com/en/players/c8b55104/Othman-Boussaid,c8b55104,Eredivisie
53,Amine Boutrah,FRA,FW,Vitesse,23-074,2000,7.6,0.53,0.53,0.13,0.13,0.26,0.26,1.18,22.2,0.92,0.92,0.00,0.92,0.92,1.45,0.39,0.13,https://fbref.com/en/players/07a13958/Amine-Boutrah,07a13958,Eredivisie
54,Can Bozdogan,GER,MF,Utrecht,22-278,2001,13.9,2.59,1.58,0.72,1.58,0.29,1.29,2.81,46.2,1.51,1.44,0.43,1.01,1.37,3.96,1.44,0.00,https://fbref.com/en/players/b797f558/Can-Bozdogan,b797f558,Eredivisie
55,Mattijs Branderhorst,NED,GK,Utrecht,30-008,1993,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/b74a2c78/Mattijs-Branderhorst,b74a2c78,Eredivisie
56,Oliver Braude,NOR,DF,Heerenveen,19-321,2004,6.9,4.20,2.75,2.03,1.74,0.43,2.90,3.48,83.3,0.58,2.32,0.72,1.59,0.72,4.93,2.32,0.14,https://fbref.com/en/players/409ccdb7/Oliver-Braude,409ccdb7,Eredivisie
57,Myron van Brederode,NED,FW,AZ Alkmaar,20-186,2003,8.6,1.98,1.28,0.47,1.05,0.47,0.93,2.56,36.4,1.63,0.81,0.00,0.81,0.47,2.44,0.12,0.00,https://fbref.com/en/players/485fbd1a/Myron-van-Brederode,485fbd1a,Eredivisie
58,Joshua Brenet,NED,DF,Twente,29-294,1994,2.8,1.79,0.71,1.07,0.36,0.36,1.79,3.93,45.5,2.14,1.07,0.00,1.07,0.71,2.50,1.07,0.00,https://fbref.com/en/players/2b5527c4/Joshua-Brenet,2b5527c4,Eredivisie
59,Jakob Breum,DEN,FW,Go Ahead Eag,20-052,2003,7.6,1.97,1.45,0.79,0.39,0.79,1.18,3.03,39.1,1.84,1.97,0.13,1.84,0.66,2.63,0.79,0.00,https://fbref.com/en/players/31c61ac7/Jakob-Breum,31c61ac7,Eredivisie
60,Brian Brobbey,NED,FW,Ajax,21-341,2002,13.7,0.29,0.15,0.00,0.15,0.15,0.00,0.15,0.0,0.15,0.51,0.07,0.44,0.00,0.29,1.31,0.00,https://fbref.com/en/players/4c184730/Brian-Brobbey,4c184730,Eredivisie
61,Michael Brouwer,NED,GK,Heracles Almelo,30-352,1993,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.0,0.06,0.00,0.00,0.00,0.06,0.06,0.50,0.13,https://fbref.com/en/players/4f521fcf/Michael-Brouwer,4f521fcf,Eredivisie
62,Luuk Brouwers,NED,MF,Heerenveen,25-250,1998,12.1,1.57,0.74,0.58,0.58,0.41,0.91,1.65,55.0,0.74,0.74,0.17,0.58,0.91,2.48,0.58,0.00,https://fbref.com/en/players/82306565/Luuk-Brouwers,82306565,Eredivisie
63,Damian van Bruggen,NED,DF,Almere City,27-296,1996,12.0,1.08,0.50,0.50,0.58,0.00,0.50,0.92,54.5,0.42,1.00,0.83,0.17,2.17,3.25,4.00,0.00,https://fbref.com/en/players/988ddfcf/Damian-van-Bruggen,988ddfcf,Eredivisie
64,Jeffrey Bruma,NED,DF,RKC Waalwijk,32-056,1991,3.0,1.00,1.00,0.67,0.33,0.00,0.33,0.67,50.0,0.33,3.00,1.67,1.33,1.00,2.00,5.33,0.33,https://fbref.com/en/players/fbffc4b1/Jeffrey-Bruma,fbffc4b1,Eredivisie
65,Max Bruns,NED,DF,Twente,21-063,2002,1.3,3.08,2.31,1.54,0.77,0.77,0.77,2.31,33.3,1.54,0.77,0.77,0.00,2.31,5.38,3.85,0.00,https://fbref.com/en/players/ff9eae4d/Max-Bruns,ff9eae4d,Eredivisie
66,Thomas Bruns,NED,"MF,FW",Heracles Almelo,32-001,1992,7.8,1.92,1.28,1.15,0.77,0.00,1.03,1.92,53.3,0.90,0.90,0.26,0.64,0.64,2.56,0.90,0.00,https://fbref.com/en/players/16952f65/Thomas-Bruns,16952f65,Eredivisie
67,Charles-Andréas Brym,CAN,"FW,MF",Sparta R'dam,25-153,1998,7.3,1.10,0.82,0.55,0.14,0.41,0.27,0.68,40.0,0.41,0.68,0.00,0.68,0.14,1.23,0.96,0.14,https://fbref.com/en/players/be76f15c/Charles-Andreas-Brym,be76f15c,Eredivisie
68,Stijn Bultman,NED,DF,Heracles Almelo,18-344,2005,8.6,2.21,1.63,1.63,0.47,0.12,1.05,1.28,81.8,0.23,1.63,0.70,0.93,1.51,3.72,4.77,0.00,https://fbref.com/en/players/faa8d9c2/Stijn-Bultman,faa8d9c2,Eredivisie
69,Oskar Buur,DEN,DF,Volendam,25-283,1998,6.1,1.64,0.82,0.82,0.66,0.16,0.82,1.48,55.6,0.66,0.66,0.33,0.33,0.82,2.46,2.46,0.00,https://fbref.com/en/players/aa6f2f2c/Oskar-Buur,aa6f2f2c,Eredivisie
70,Zico Buurmeester,NED,MF,Zwolle,21-215,2002,15.1,1.52,0.99,0.86,0.60,0.07,0.73,1.66,44.0,0.93,0.99,0.40,0.60,1.66,3.18,1.85,0.00,https://fbref.com/en/players/62766c3f/Zico-Buurmeester,62766c3f,Eredivisie
71,Yoann Cathline,FRA,"DF,FW",Almere City,21-170,2002,3.3,1.82,1.52,0.61,0.61,0.61,0.91,2.73,33.3,1.82,1.52,0.00,1.52,0.61,2.42,0.61,0.00,https://fbref.com/en/players/4db5915d/Yoann-Cathline,4db5915d,Eredivisie
72,Sava Cestic,SRB,DF,Heracles Almelo,22-323,2001,1.3,1.54,0.77,1.54,0.00,0.00,1.54,1.54,100.0,0.00,3.08,2.31,0.77,2.31,3.85,5.38,0.00,https://fbref.com/en/players/0b7dae21/Sava-Cestic,0b7dae21,Eredivisie
73,Jasper Cillessen,NED,GK,NEC Nijmegen,34-261,1989,12.3,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.0,0.16,0.08,0.00,0.08,0.00,0.00,0.33,0.08,https://fbref.com/en/players/04ac8285/Jasper-Cillessen,04ac8285,Eredivisie
74,Jordy Clasie,NED,MF,AZ Alkmaar,32-195,1991,14.6,2.19,1.10,0.82,1.16,0.21,1.10,2.12,51.6,1.03,0.48,0.00,0.48,1.58,3.77,1.30,0.00,https://fbref.com/en/players/31c01b85/Jordy-Clasie,31c01b85,Eredivisie
75,Pelle Clement,NED,FW,Sparta R'dam,27-234,1996,7.6,1.32,0.79,0.53,0.53,0.26,0.53,0.79,66.7,0.26,0.66,0.13,0.53,0.26,1.58,1.71,0.00,https://fbref.com/en/players/f7226e46/Pelle-Clement,f7226e46,Eredivisie
76,Denilho Cleonise,NED,"FW,MF",RKC Waalwijk,22-031,2001,11.4,0.70,0.26,0.18,0.00,0.53,0.44,0.70,62.5,0.26,0.70,0.00,0.70,0.61,1.32,0.35,0.00,https://fbref.com/en/players/91c9de34/Denilho-Cleonise,91c9de34,Eredivisie
77,Iñigo Córdoba,ESP,FW,Fortuna Sittard,26-301,1997,12.8,2.73,2.11,1.48,0.78,0.47,0.86,1.80,47.8,0.94,1.80,0.23,1.56,1.33,4.06,1.17,0.00,https://fbref.com/en/players/49ea92be/Inigo-Cordoba,49ea92be,Eredivisie
78,Enzo Cornelisse,NED,"DF,MF",Vitesse,21-007,2003,9.7,1.86,0.93,1.03,0.72,0.10,1.13,2.47,45.8,1.34,1.03,0.10,0.93,1.24,3.09,2.37,0.00,https://fbref.com/en/players/441f7f4c/Enzo-Cornelisse,441f7f4c,Eredivisie
79,Milan Corryn,BEL,FW,Almere City,24-279,1999,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/88b73396/Milan-Corryn,88b73396,Eredivisie
80,George Cox,ENG,DF,Volendam,25-359,1998,7.8,1.79,1.28,1.03,0.38,0.38,1.28,2.95,43.5,1.67,1.79,0.64,1.15,1.67,3.46,2.44,0.00,https://fbref.com/en/players/8c25d35a/George-Cox,8c25d35a,Eredivisie
81,Vito van Crooy,NED,FW,Sparta R'dam,27-344,1996,2.9,1.03,0.34,1.03,0.00,0.00,1.03,1.38,75.0,0.34,1.03,0.34,0.69,0.69,1.72,1.72,0.00,https://fbref.com/en/players/4b8b9e6c/Vito-van-Crooy,4b8b9e6c,Eredivisie
82,Lennart-Marten Czyborra,GER,DF,Zwolle,24-250,1999,1.6,0.63,0.00,0.63,0.00,0.00,0.00,1.88,0.0,1.88,0.00,0.00,0.00,0.63,1.25,1.25,0.00,https://fbref.com/en/players/7ba1f1ef/Lennart-Marten-Czyborra,7ba1f1ef,Eredivisie
83,Tiago Dantas,POR,MF,AZ Alkmaar,23-015,2000,3.8,2.11,0.79,0.79,1.05,0.26,1.05,2.37,44.4,1.32,0.79,0.79,0.00,0.00,2.11,0.79,0.00,https://fbref.com/en/players/234204f4/Tiago-Dantas,234204f4,Eredivisie
84,Brian De Keersmaecker,BEL,MF,Heracles Almelo,23-247,2000,15.9,2.33,1.45,1.64,0.57,0.13,1.32,2.89,45.7,1.57,2.26,0.82,1.45,1.38,3.71,2.26,0.00,https://fbref.com/en/players/40d2f0cb/Brian-De-Keersmaecker,40d2f0cb,Eredivisie
85,Jeffrey De Lange,NED,GK,Go Ahead Eag,25-282,1998,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.06,https://fbref.com/en/players/c31cf14b/Jeffrey-De-Lange,c31cf14b,Eredivisie
86,Mats Deijl,NED,DF,Go Ahead Eag,26-177,1997,16.0,1.63,1.19,0.63,0.75,0.25,0.88,1.69,51.9,0.81,0.75,0.19,0.56,0.63,2.25,3.44,0.00,https://fbref.com/en/players/709e48d4/Mats-Deijl,709e48d4,Eredivisie
